TECHNOLOGY	M1 Macbook Air	1500.00	50000	USB_C	512
FOOD	Gumbo	7.49	Water,Chicken Stock,Sausage,Chicken,Bay Leaves,Saffron,Onion,Green Bellpepper,Roux	1000	2
CLOTHING	Sweater	50.00	L	Wool
FOOD	Street Taco	12.99	Tortilla,Chicken,Salsa,Cheese	250	1
CLOTHING	T-shirt	20.99	S	Polyester
CLOTHING	Jeans	49.99	M	Denim
TECHNOLOGY	Samsung Galaxy A52	750.49	17400	USB_C	1024
TECHNOLOGY	MSI Gaming Monitor	300.00	0	DVI	0
HYGIENE	Toothpaste	9.99	DENTAL	2	Clean teeth and remove plaque
HYGIENE	Tums	13.99	GASTROENTEROLOGICAL	2	Combats acid reflux
